sludinajuma_saite,bilde,marka,gads,tilpums,nobraukums,cena
/msg/lv/transport/cars/electric-cars/bmpxpm.html,https://i.ss.lv/gallery/7/1310/327378/65475556.th2.jpg,['Volkswagen'],['2021'],"[<span style=""color:#06c;"">E</span>]",['51 tūkst.'],"['24,200  €']"
/msg/lv/transport/cars/volkswagen/t-roc/cbicdn.html,https://i.ss.lv/gallery/7/1298/324430/64885859.th2.jpg,"['Volkswagen', <br/>, 'T-Roc']",['2019'],['2.0D'],['91 tūkst.'],"['18,950  €']"
/msg/lv/transport/cars/fiat/500/bklooh.html,https://i.ss.lv/gallery/7/1323/330616/66123072.th2.jpg,"['Fiat', <br/>, '500']",['2016'],['1.4'],['163 tūkst.'],"['10,900  €']"
/msg/lv/transport/cars/hyundai/tucson/cdcmcx.html,https://i.ss.lv/gallery/7/1323/330626/66125129.th2.jpg,"['Hyundai', <br/>, 'Tucson']",['2019'],['1.6'],['142 tūkst.'],"['17,490  €']"
/msg/lv/transport/cars/volkswagen/golf-8/cchnmg.html,https://i.ss.lv/gallery/7/1314/328424/65684602.th2.jpg,"['Volkswagen', <br/>, 'Golf 8']",['2020'],['1.6D'],['141 tūkst.'],"['14,950  €']"
/msg/lv/transport/cars/hyundai/kona/cxejnm.html,https://i.ss.lv/gallery/7/1323/330626/66125102.th2.jpg,"['Hyundai', <br/>, 'Kona']",['2021'],['1.6'],['27 tūkst.'],"['16,490  €']"
/msg/lv/transport/cars/skoda/octavia/cckfbi.html,https://i.ss.lv/gallery/7/1303/325713/65142476.th2.jpg,[<b>Skoda<br/>Octavia</b>],[<b>2016</b>],[<b>1.4</b>],"[<b>123</b>, ' tūkst.']","[<b>12,390</b>, '  €']"
/msg/lv/transport/cars/bmw/x4/cbpfmx.html,https://i.ss.lv/gallery/7/1294/323252/64650319.th2.jpg,[<b>Bmw<br/>X4</b>],[<b>2018</b>],[<b>2.0D</b>],"[<b>222</b>, ' tūkst.']","[<b>32,000</b>, '  €']"
/msg/lv/transport/cars/volkswagen/passat-b8/ccocjh.html,https://i.ss.lv/gallery/7/1307/326532/65306274.th2.jpg,"['Volkswagen', <br/>, 'Passat (B8)']",['2020'],['2.0D'],['116 tūkst.'],"['22,200  €']"
/msg/lv/transport/cars/subaru/forester/cfnfje.html,https://i.ss.lv/gallery/7/1323/330627/66125256.th2.jpg,"['Subaru', <br/>, 'Forester']",['1999'],['2.0'],['220 tūkst.'],"['2,690  €']"
